Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.77,0.01,0.148%,421709082.00,United States,1988,31925,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.66,0.00,0.00%,0.00,,2022,1,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$2.42,0.00,0.00%,2156211218.00,Canada,,17031954,Basic Materials,Other Metals and Minerals
DPSI,DecisionPoint Systems Inc. Common Stock,$10.08,0.00,0.00%,77424480.00,,2022,31046,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,$1.8501,0.0101,0.549%,13074235.00,United States,,8040,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.2402,0.0053,2.256%,5376824.00,China,,293631,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.48,0.03,0.465%,0.00,United States,2003,105441,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.03,0.02,0.25%,0.00,United States,1986,17528,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.6301,-0.0699,-0.322%,,United States,,495,,
EFSH,1847 Holdings LLC Common Shares,$1.17,-0.06,-4.878%,6192636.00,,2022,367209,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.25,0.045,0.441%,0.00,United States,2002,88771,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.58,0.04,0.881%,120346036.00,United States,,66817,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$14.30,-0.64,-4.284%,183791966.00,Israel,,2712,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$14.79,0.10,0.681%,128018202.00,United States,2011,24602,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$2.00,0.01,0.503%,225643080.00,Canada,,233270,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.2976,-0.0037,-1.228%,8224622.00,United States,,231526,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.51,0.24,2.589%,0.00,United States,2002,23051,Finance,Finance/Investors Services
